abstract,抽象的,
accord,使符合；给予,cause to conform; grant
amid,在…当中；在…之间,"in the middle of, among"
and the rest,等等,and so on
apt,易于…的，有…倾向的,likely or having a tendency to do something
ashore,在岸上；向岸边,on land; to the shore
assemble,集合；装配,bring or call together into a group; fit together the parts or pieces of
at sea,在海上航行,during a ship's voyage on the sea
be exposed to,暴露于； 与…接触,
be immersed in,沉浸在；沉迷于,
behalf,利益，好处,"interest, benefit"
being,生命，人,"a living things, especially a person"
boyhood,少年时代,the period of being a boy
brighten,（使）变凉，（使）变得更亮,make or become bright or brighter
bring back,回想起,cause to return to the mind
cargo,（车、船、飞机等所载的）货物,
cluster,群集；群，簇，丛,from a close group around
compassionate,表示怜悯的；有同情心的,showing of feeling sympathy and concern for others
concrete,明确的；具体的,definite; existing as the.? Real or solid
considerate,体贴的；考虑周到的,thoughtful of the rights and feelings of others; marked by careful thought
consistency,前后一致；一贯；坚持,quality of being consistent
deck,甲板,
diminish,（使）变小，（使）减少,make or become smaller or less
enhance,提高；增强,increase (the good qualities of somebody/something)
entry,（写进清单、日记、账本等的）条目，项目；进入；入口,"item written in a list, a diary, an account book, etc."
expose,使暴露；使接触,leave uncovered; make accessible to
favorable,肯定地；称赞的,positive; expressing approval
feedback,反馈消息,
foil,铝箔,
gesture,手势；姿态,"movement of a part of the body, especially a hand or the head; action performed to convey one's feelings or intentions"
go about,表现；忙于；着手,behave; keep busy doing (something); set about
gratitude,感激，谢意,"being thankful, thankfulness"
immerse,使浸没；使沉迷,cover completely in a liquid; absorb deeply
in a flash,一瞬间,instantly
in part ,在某种程度上；部分地,to certain extent; partly
in quest of ,寻求，探求,seeking
in secret,秘密的，暗自,secretly
in turn,挨个地，轮流地,one by one
inevitable,不可避免的；必然发生的,that cannot be avoided; that is sure to happen
instance,实例，例子,"a single fact, event, etc.., expressing a general idea"
irritate,使（某人）愤怒、烦恼或急躁,"make (somebody) angry, annoyed or impatient"
jot down,扼要记下,"make a quick, usually short, written note of (something)"
marvelous,不可思议的，美妙的,"causing wonder, excellent"
negative,消极的；表示否定或拒绝的,lacking in constructive or helpful qualities; expressing denial or refusal
odd,稍多于；单数的；奇怪的,a little more than; that cannot be divided by two; strange
on average,按平均值；通常,
out on a limb,独立从事,n a position where one is not joined or supported by anyone else
pad,用软的材料衬垫,line or stuff with soft material
part with,放弃,give up possession of
passive,被动的,
per,每，每一,
perceive,把…看作，认为；意识到,view; become aware of (somebody/something)
prayer,祈祷，祷告,
put a way,把…收起，放好,remove (something) to a place where it is usually stored
quest,寻求，追求,the act of seeking or pursuing something
quote,引用，引述,repeat or copy the words of (another)
rack,炮弹架；架,a frame for holding bombs; a framework or stand on or in which articles are placed
recede,变得模糊；退去,become fainter; move back or away from a point
repay,偿还，报答,"pay back, reward"
reverse,反转；交换…的位置,turn around to the opposite direction; exchange the positions of
round up,使集合在一起,cause to gather in one place
sack,麻袋；大袋,
sake,目的；理由；利益,
seaman,海员，水手，水兵,a sailor on a ship
session,（议会的）会议,
sincere,诚挚的，真诚的,"not pretending, honest"
specific,明确的；具体的,relating to one thing and not others; particular
sphere,球形,
sprinkle,将…洒在…上；洒,scatter (drops of particles of something) on (something); scatter in small drops
statement,陈述；声明,"something That is said, especially formally and officially"
successive,接连不断的，连续的,following one after the other
swift,迅疾的，及时的,"rapid, prompt"
traditional,传统的，惯例的,of or in accordance with tradition
turn over,考虑；思考,"think about, consider"
under way,航行中；工作中,in motion or operation
undergo,经过，经历,"go through, experience"
underscore,强调；在（词等）下面画线,"emphasize; draw a line under (a word, etc.)"
unload,卸（货）；将货从（车、船等）上卸下,"remove (the load or cargo) from a ship, car, etc.; remove the load or cargo from (a ship, car, etc.)"
upcoming,即将来到的，即将出现的,occurring soon
verbal,文字的；口头的；动词的，跟动词有关的,of or in words; spoken; of or connected with a verb
volunteer,志愿者；自愿（做或给予等）,"person who offers to do something without being compelled or paid; give or offer (one's help, a suggestion, etc.) willingly or without being paid"
weep,流（泪），（为…而）哭泣,"shed (tears), cry because of"